symbol;ekonomická činnost;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
A;zemědělství, lesnictví a rybářství;13,950;14,802;16,189;17,909;17,766;18,092;18,622;19,436;20,358;21,347;21,683;22,532;23,833;25,478;28,055;28,734 
B;těžba a dobývání;22,419;23,996;25,715;29,300;28,430;30,348;31,570;32,498;31,506;31,340;31,859;31,593;33,565;36,214;37,290;37,320 
C;zpracovatelský průmysl;17,359;18,536;19,961;21,631;22,104;22,998;23,798;24,572;24,892;25,729;26,493;27,711;29,550;31,925;34,003;34,066 
D;výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;26,744;29,351;31,501;35,116;38,632;39,705;40,187;42,487;41,353;41,200;40,495;41,469;43,592;46,315;49,471;52,363 
E;zásobování vodou & činnosti související s odpadními vodami, odpady a sanacemi;17,362;18,571;19,913;21,299;22,084;23,031;23,250;23,731;23,610;24,178;24,744;25,332;26,925;28,760;30,704;31,530 
F;stavebnictví;16,660;17,790;19,193;21,143;22,318;22,379;22,828;22,902;22,395;22,964;23,991;24,867;26,058;28,298;30,187;30,979 
G;velkoobchod a maloobchod & opravy a údržba motorových vozidel;16,972;17,986;19,649;21,455;21,526;22,076;22,946;23,304;23,142;23,947;24,994;26,243;28,138;30,101;32,314;32,474 
H;doprava a skladování;18,190;19,146;20,582;22,601;22,994;23,005;23,026;23,348;23,368;23,893;24,642;25,742;27,435;29,427;31,640;31,931 
I;ubytování, stravování a pohostinství;10,475;11,407;11,842;12,498;12,366;13,258;13,353;13,313;13,709;13,986;14,852;15,678;17,477;19,308;20,969;19,904 
J;informační a komunikační činnosti;33,902;36,223;38,817;41,870;43,487;43,513;45,761;46,871;46,245;47,800;49,624;50,192;52,910;56,940;59,268;62,008 
K;peněžnictví a pojišťovnictví;36,258;38,687;41,509;44,629;45,861;45,638;47,378;50,425;45,844;47,964;48,533;50,004;51,605;54,755;58,144;59,401 
L;činnosti v oblasti nemovitostí;17,217;18,016;20,205;19,828;20,658;21,089;22,101;21,145;20,517;20,549;22,411;23,444;23,991;25,933;29,592;29,309 
M;profesní, vědecké a technické činnosti;23,727;24,742;26,799;30,364;31,881;31,928;32,441;32,857;32,181;32,755;33,833;34,884;36,910;38,976;42,023;42,410 
N;administrativní a podpůrné činnosti;12,547;13,313;14,126;15,679;15,957;16,225;16,564;17,049;17,009;17,201;17,572;18,584;19,545;21,085;22,970;24,479 
O;veřejná správa a obrana & povinné sociální zabezpečení;22,246;23,292;25,042;26,367;26,818;27,077;26,259;26,839;26,972;27,844;29,123;30,672;33,195;36,462;38,927;40,653 
P;vzdělávání;18,762;20,008;21,225;22,233;23,508;23,349;23,505;24,579;24,691;25,062;25,638;26,693;28,534;31,792;35,847;38,023 
Q;zdravotní a sociální péče;17,560;19,024;20,126;21,177;22,921;23,557;24,829;25,251;25,096;25,689;27,052;28,363;30,876;33,923;37,374;41,076 
R;kulturní, zábavní a rekreační činnosti;16,084;16,904;17,922;18,746;19,771;19,916;19,786;20,555;20,698;21,204;22,120;23,486;25,566;28,181;31,322;31,727 
S;ostatní činnosti;14,654;15,598;17,044;17,093;18,615;18,418;19,319;19,592;19,830;20,297;20,853;21,791;21,999;23,706;25,459;25,952 
